musicalId,tagId
152,18
152,1
153,38
154,26
156,39
157,30
157,40
158,31
158,39
158,6
159,26
159,27
160,41
160,30
160,1
160,13
160,26
161,40
161,35
162,26
162,39
162,8
163,2
163,11
163,13
163,21
163,22
163,26
163,27
163,31
163,33
163,41
164,7
164,26
164,31
164,1
166,22
167,7
167,14
167,21
167,18
167,1
168,26
168,27
168,35
170,26
170,27
171,21
171,26
171,27
171,39
172,26
173,19
173,5
175,17
176,40
176,26
176,9
177,9
177,26
177,23
178,27
178,26
179,27
179,34
180,26
180,27
181,29
181,31
182,39
182,26
183,26
183,30
184,2
184,21
184,26
184,31
184,24
185,30
185,26
186,40
187,26
188,8
188,26
188,29
189,23
189,25
189,27
189,26
190,39
192,26
193,7
193,14
193,21
193,26
193,31
193,1
194,35
194,26
195,14
195,21
195,26
195,39
196,7
196,11
196,14
196,21
196,26
196,32
196,33
196,35
197,31
197,1
198,11
198,21
198,31
198,33
198,23
198,1
199,7
199,14
199,21
199,25
199,29
199,32
199,39
199,16
200,37
200,5
201,5
202,26
203,40
203,35
204,40
205,26
205,27
205,39
206,26
206,32
206,25
209,7
209,26
209,27
209,31
209,39
209,34
209,25
209,16
210,26
210,8
210,42
211,26
211,39
212,33
213,26
213,20
213,21
213,42
214,40
214,35
216,26
218,26
219,5
220,26
220,27
220,17
221,32
222,14
222,26
222,27
222,29
222,31
222,39
223,38
223,26
223,1
224,6
227,26
227,34
227,1
228,6
230,41
232,31
233,35
234,26
234,40
235,14
235,22
235,26
235,27
235,31
235,23
235,25
236,26
236,27
236,31
236,8
237,26
238,15
238,35
238,5
239,40
239,35
239,18
239,10
239,1
239,5
240,26
240,39
241,26
242,21
242,42
243,32
244,31
244,1
245,30
246,35
246,41
246,26
246,4
246,14
247,30
247,38
248,21
248,26
248,42
248,40
250,26
250,34
250,25
250,42
251,26
252,11
252,19
252,33
253,2
253,7
253,21
253,22
253,26
253,27
253,31
253,41
253,1
254,26
255,30
256,15
256,30
256,40
257,40
257,38
257,1
257,31
257,44
258,26
260,26
260,27
261,21
261,26
261,27
263,21
264,21
264,33
264,3
265,26
265,27
265,32
267,26
269,26
269,27
270,40
271,19
272,26
272,29
273,26
274,7
274,9
274,26
275,26
276,40
277,26
277,8
277,14
278,2
278,19
278,21
278,26
278,27
278,31
278,42
278,1
279,2
279,14
279,21
279,26
279,27
279,29
280,26
282,35
283,45
284,26
285,26
285,39
286,6
286,40
286,38
287,26
288,35
288,5
290,26
292,17
293,26
293,34
296,7
296,26
296,27
296,17
297,33
297,26
299,2
299,42
300,40
300,35
301,31
301,8
302,40
303,13
303,14
303,22
303,26
303,32
303,1
304,30
304,40
304,38
304,25
304,26
307,26
308,26
308,32
308,34
308,1
309,36
309,26
310,2
310,21
310,26
310,27
313,30
315,21
315,26
315,31
315,18
315,1
316,14
316,21
316,26
316,29
316,31
318,35
318,5
319,45
319,26
320,12
323,35
325,21
325,26
325,27
325,39
325,6
326,32
327,35
328,33
329,11
329,33
329,39
329,3
330,11
330,31
330,33
331,21
331,26
331,39
332,1
333,39
334,7
334,21
336,26
337,26
339,14
339,21
339,26
339,27
339,31
339,41
340,21
341,40
341,38
342,19
342,21
342,26
342,35
344,21
344,26
344,17
345,26
345,27
345,32
346,2
346,26
346,27
346,31
348,6
349,2
349,21
349,26
349,29
349,35
350,40
351,26
352,31
353,15
353,35
353,5
354,26
354,42
354,3
356,1
356,2
356,7
356,10
356,11
356,14
356,20
356,21
356,22
356,26
356,27
356,31
356,32
356,33
356,42
356,17
357,40
358,33
360,26
360,31
360,42
361,40
362,21
362,33
362,41
362,1
363,21
363,26
363,36
364,39
364,42
365,21
365,26
365,27
366,40
367,6
367,41
368,41
369,40
370,26
370,27
370,25
371,26
371,1
373,34
373,27
374,26
376,41
378,15
379,26
379,42
380,2
380,14
380,21
380,26
380,27
380,31
380,32
380,33
380,18
380,42
380,1
380,6
381,30
382,13
382,27
382,31
382,32
382,33
384,26
384,27
384,31
385,11
385,26
385,27
385,31
385,33
386,15
386,35
387,1
387,26
387,21
388,26
388,27
389,7
389,26
389,27
391,40
392,21
394,40
395,13
395,14
395,21
395,26
395,27
395,31
395,32
395,33
395,1
396,9
396,21
396,26
396,27
396,32
396,16
397,7
397,14
397,19
397,21
397,26
397,27
397,39
397,35
398,26
398,27
398,32
399,1
399,21
399,26
399,31
400,30
400,40
400,35
400,39
403,9
403,31
405,7
405,14
405,26
405,27
405,16
406,26
407,6
407,38
408,10
408,21
408,22
408,26
408,29
408,31
408,1
409,26
409,27
409,17
410,11
410,21
410,26
410,27
410,31
410,33
410,41
410,42
410,1
410,6
411,21
411,26
411,17
414,9
414,26
415,10
415,31
415,39
415,8
415,1
417,37
418,38
419,6
420,14
420,20
420,21
420,26
420,29
420,31
420,32
420,28
420,39
420,24
420,25
420,42
420,16
421,35
422,21
422,26
422,32
422,34
422,8
422,25
423,30
423,38
424,26
424,27
424,32
424,39
425,19
425,21
425,31
426,14
426,26
428,9
428,26
429,21
429,26
430,30
430,40
430,35
433,30
433,38
435,14
435,21
435,26
435,6
437,39
439,2
439,10
439,21
439,31
439,1
440,21
440,26
440,27
440,31
440,32
440,42
441,26
441,27
442,14
442,31
442,32
442,33
442,39
442,3
443,40
444,2
444,20
444,21
444,26
444,29
444,1
444,3
445,39
445,25
445,16
446,38
446,33
447,26
447,27
447,31
448,20
448,28
448,17
448,42
448,6
451,30
451,24
451,26
451,7
451,14
452,30
453,9
453,39
453,23
455,26
455,33
455,1
456,21
456,26
456,39
457,9
457,26
457,27
458,38
459,31
459,42
461,21
461,1
462,35
463,26
464,7
464,13
464,14
464,21
464,26
464,1
465,14
465,26
